Version checked: updated 
Download setup initialized...
newcards.ydk downloaded from repository 
Download setup done. Downloading newcards.ydk...
Download setup initialized...
allcards.ydk downloaded from repository 
Download setup done. Downloading allcards.ydk...
10000010 downloaded [3/11672]
10000000 downloaded [2/11672]
10000090 downloaded [8/11672]
10012614 downloaded [11/11672]
10004783 downloaded [10/11672]
10000 downloaded [1/11672]
10000020 downloaded [4/11672]
10032958 downloaded [15/11672]
10000080 downloaded [7/11672]
10060427 downloaded [20/11672]
10035717 downloaded [16/11672]
10000040 downloaded [6/11672]
1003028 downloaded [14/11672]
10002346 downloaded [9/11672]
10028593 downloaded [13/11672]
10000030 downloaded [5/11672]
10026986 downloaded [12/11672]
1003840 downloaded [17/11672]
10071151 downloaded [23/11672]
10045474 downloaded [18/11672]
10118318 downloaded [28/11672]
1005587 downloaded [19/11672]
10069180 downloaded [22/11672]
10080320 downloaded [24/11672]
10132124 downloaded [30/11672]
10110717 downloaded [26/11672]
10209545 downloaded [35/11672]
1006081 downloaded [21/11672]
10131855 downloaded [29/11672]
10158145 downloaded [31/11672]
10248389 downloaded [40/11672]
10117149 downloaded [27/11672]
10097168 downloaded [25/11672]
10178757 downloaded [32/11672]
10194329 downloaded [34/11672]
10236520 downloaded [36/11672]
10189126 downloaded [33/11672]
10248192 downloaded [39/11672]
102380 downloaded [37/11672]
10239627 downloaded [38/11672]
10282757 downloaded [42/11672]
10375182 downloaded [50/11672]
10365322 downloaded [48/11672]
10312660 downloaded [44/11672]
10352095 downloaded [47/11672]
1033312 downloaded [46/11672]
1036974 downloaded [49/11672]
10286023 downloaded [43/11672]
10456559 downloaded [60/11672]
10321588 downloaded [45/11672]
10532969 downloaded [70/11672]
10389794 downloaded [53/11672]
10489311 downloaded [62/11672]
10383554 downloaded [51/11672]
1045143 downloaded [59/11672]
10443957 downloaded [57/11672]
10389142 downloaded [52/11672]
10449150 downloaded [58/11672]
10406322 downloaded [54/11672]
10424147 downloaded [55/11672]
10275411 downloaded [41/11672]
10526791 downloaded [68/11672]
10651797 downloaded [80/11672]
10493654 downloaded [63/11672]
1050684 downloaded [66/11672]
10509340 downloaded [67/11672]
10441498 downloaded [56/11672]
1050186 downloaded [64/11672]
1050355 downloaded [65/11672]
10537981 downloaded [71/11672]
10485110 downloaded [61/11672]
10530913 downloaded [69/11672]
10591919 downloaded [75/11672]
10731333 downloaded [90/11672]
10552026 downloaded [73/11672]
10547580 downloaded [72/11672]
10669138 downloaded [82/11672]
10642488 downloaded [79/11672]
10809984 downloaded [100/11672]
10719350 downloaded [88/11672]
10612222 downloaded [77/11672]
10667321 downloaded [81/11672]
10678778 downloaded [83/11672]
10560119 downloaded [74/11672]
10613952 downloaded [78/11672]
